#time	id	act	node	grp	dest	new_grp	prob	keep_via	via
1501	12	1	660	660	246	246	1.000000	false	0
1501	13	1	834	834	370	370	1.000000	false	0
1501	14	1	886	886	370	370	1.000000	false	0
1801	3	99	56	56	274	274	1.000000	false	0
1801	4	99	136	136	265	265	1.000000	false	0
1801	5	99	204	204	95	95	1.000000	false	0
1801	10	99	488	488	296	296	1.000000	false	0
1801	6	99	605	605	274	274	1.000000	false	0
1801	11	99	637	637	370	370	1.000000	false	0
1801	12	99	660	660	246	246	1.000000	false	0
1801	13	99	834	834	370	370	1.000000	false	0
1801	14	99	886	886	370	370	1.000000	false	0
1801	3	1	56	56	274	274	1.000000	false	0
1801	4	1	136	136	265	265	1.000000	false	0
1801	5	1	204	204	95	95	1.000000	false	0
1801	10	1	488	488	296	296	1.000000	false	0
1801	6	1	605	605	274	274	1.000000	false	0
1801	11	1	637	637	370	370	1.000000	false	0
1801	12	1	660	660	246	246	1.000000	false	0
1801	13	1	834	834	370	370	1.000000	false	0
1801	14	1	886	886	370	370	1.000000	false	0
2101	3	99	56	56	274	274	1.000000	false	0
2101	4	99	136	136	265	265	1.000000	false	0
2101	5	99	204	204	95	95	1.000000	false	0
2101	10	99	488	488	296	296	1.000000	false	0
2101	6	99	605	605	274	274	1.000000	false	0
2101	11	99	637	637	370	370	1.000000	false	0
2101	12	99	660	660	246	246	1.000000	false	0
2101	13	99	834	834	370	370	1.000000	false	0
2101	14	99	886	886	370	370	1.000000	false	0
2101	3	1	56	56	274	274	1.000000	false	0
2101	4	1	136	136	265	265	1.000000	false	0
2101	5	1	204	204	95	95	1.000000	false	0
2101	10	1	488	488	296	296	1.000000	false	0
2101	6	1	605	605	274	274	1.000000	false	0
2101	11	1	637	637	370	370	1.000000	false	0
2101	12	1	660	660	246	246	1.000000	false	0
2101	13	1	834	834	370	370	1.000000	false	0
2101	14	1	886	886	370	370	1.000000	false	0
2401	3	99	56	56	274	274	1.000000	false	0
2401	4	99	136	136	265	265	1.000000	false	0
2401	5	99	204	204	95	95	1.000000	false	0
2401	10	99	488	488	296	296	1.000000	false	0
2401	6	99	605	605	274	274	1.000000	false	0
2401	11	99	637	637	370	370	1.000000	false	0
2401	12	99	660	660	246	246	1.000000	false	0
2401	13	99	834	834	370	370	1.000000	false	0
2401	14	99	886	886	370	370	1.000000	false	0
2401	3	1	56	56	274	274	1.000000	false	0
2401	4	1	136	136	265	265	1.000000	false	0
2401	5	1	204	204	95	95	1.000000	false	0
2401	10	1	488	488	296	296	1.000000	false	0
2401	6	1	605	605	274	274	1.000000	false	0
2401	11	1	637	637	370	370	1.000000	false	0
2401	12	1	660	660	246	246	1.000000	false	0
2401	13	1	834	834	370	370	1.000000	false	0
2401	14	1	886	886	370	370	1.000000	false	0
2701	3	99	56	56	274	274	1.000000	false	0
2701	4	99	136	136	265	265	1.000000	false	0
2701	5	99	204	204	95	95	1.000000	false	0
2701	10	99	488	488	296	296	1.000000	false	0
2701	6	99	605	605	274	274	1.000000	false	0
2701	11	99	637	637	370	370	1.000000	false	0
2701	12	99	660	660	246	246	1.000000	false	0
2701	13	99	834	834	370	370	1.000000	false	0
2701	14	99	886	886	370	370	1.000000	false	0
2701	3	1	56	56	274	274	1.000000	false	0
2701	4	1	136	136	265	265	1.000000	false	0
2701	5	1	204	204	95	95	1.000000	false	0
2701	15	1	370	370	265	265	1.000000	false	0
2701	10	1	488	488	296	296	1.000000	false	0
2701	6	1	605	605	274	274	1.000000	false	0
2701	16	1	637	637	274	274	1.000000	false	0
2701	12	1	660	660	246	246	1.000000	false	0
2701	17	1	834	834	274	274	1.000000	false	0
2701	18	1	886	886	274	274	1.000000	false	0
3001	3	99	56	56	274	274	1.000000	false	0
3001	4	99	136	136	265	265	1.000000	false	0
3001	5	99	204	204	95	95	1.000000	false	0
3001	15	99	370	370	265	265	1.000000	false	0
3001	10	99	488	488	296	296	1.000000	false	0
3001	6	99	605	605	274	274	1.000000	false	0
3001	16	99	637	637	274	274	1.000000	false	0
3001	12	99	660	660	246	246	1.000000	false	0
3001	17	99	834	834	274	274	1.000000	false	0
3001	18	99	886	886	274	274	1.000000	false	0
3001	19	1	56	56	265	265	1.000000	false	0
3001	4	1	136	136	265	265	1.000000	false	0
3001	5	1	204	204	95	95	1.000000	false	0
3001	15	1	370	370	265	265	1.000000	false	0
3001	10	1	488	488	296	296	1.000000	false	0
3001	6	1	605	605	274	274	1.000000	false	0
3001	16	1	637	637	274	274	1.000000	false	0
3001	12	1	660	660	246	246	1.000000	false	0
3001	17	1	834	834	274	274	1.000000	false	0
3001	18	1	886	886	274	274	1.000000	false	0
3301	19	99	56	56	265	265	1.000000	false	0
3301	4	99	136	136	265	265	1.000000	false	0
3301	5	99	204	204	95	95	1.000000	false	0
3301	15	99	370	370	265	265	1.000000	false	0
3301	10	99	488	488	296	296	1.000000	false	0
3301	6	99	605	605	274	274	1.000000	false	0
3301	16	99	637	637	274	274	1.000000	false	0
3301	12	99	660	660	246	246	1.000000	false	0
3301	17	99	834	834	274	274	1.000000	false	0
3301	18	99	886	886	274	274	1.000000	false	0
3301	19	1	56	56	265	265	1.000000	false	0
3301	4	1	136	136	265	265	1.000000	false	0
3301	5	1	204	204	95	95	1.000000	false	0
3301	20	1	246	246	296	296	1.000000	false	0
3301	15	1	370	370	265	265	1.000000	false	0
3301	10	1	488	488	296	296	1.000000	false	0
3301	6	1	605	605	274	274	1.000000	false	0
3301	16	1	637	637	274	274	1.000000	false	0
3301	21	1	660	660	410	410	1.000000	false	0
3301	17	1	834	834	274	274	1.000000	false	0
3301	18	1	886	886	274	274	1.000000	false	0
3601	19	99	56	56	265	265	1.000000	false	0
3601	4	99	136	136	265	265	1.000000	false	0
3601	5	99	204	204	95	95	1.000000	false	0
3601	20	99	246	246	296	296	1.000000	false	0
3601	15	99	370	370	265	265	1.000000	false	0
3601	10	99	488	488	296	296	1.000000	false	0
3601	6	99	605	605	274	274	1.000000	false	0
3601	16	99	637	637	274	274	1.000000	false	0
3601	21	99	660	660	410	410	1.000000	false	0
3601	17	99	834	834	274	274	1.000000	false	0
3601	18	99	886	886	274	274	1.000000	false	0
3601	19	1	56	56	265	265	1.000000	false	0
3601	4	1	136	136	265	265	1.000000	false	0
3601	5	1	204	204	95	95	1.000000	false	0
3601	20	1	246	246	296	296	1.000000	false	0
3601	15	1	370	370	265	265	1.000000	false	0
3601	10	1	488	488	296	296	1.000000	false	0
3601	6	1	605	605	274	274	1.000000	false	0
3601	16	1	637	637	274	274	1.000000	false	0
3601	21	1	660	660	410	410	1.000000	false	0
3601	17	1	834	834	274	274	1.000000	false	0
3601	18	1	886	886	274	274	1.000000	false	0
3901	19	99	56	56	265	265	1.000000	false	0
3901	4	99	136	136	265	265	1.000000	false	0
3901	5	99	204	204	95	95	1.000000	false	0
3901	20	99	246	246	296	296	1.000000	false	0
3901	15	99	370	370	265	265	1.000000	false	0
3901	10	99	488	488	296	296	1.000000	false	0
3901	6	99	605	605	274	274	1.000000	false	0
3901	16	99	637	637	274	274	1.000000	false	0
3901	21	99	660	660	410	410	1.000000	false	0
3901	17	99	834	834	274	274	1.000000	false	0
3901	18	99	886	886	274	274	1.000000	false	0
3901	3	1	56	56	274	274	1.000000	false	0
3901	22	1	136	136	259	259	1.000000	false	0
3901	5	1	204	204	95	95	1.000000	false	0
3901	20	1	246	246	296	296	1.000000	false	0
3901	23	1	265	265	259	259	1.000000	false	0
3901	24	1	370	370	274	274	1.000000	false	0
3901	10	1	488	488	296	296	1.000000	false	0
3901	6	1	605	605	274	274	1.000000	false	0
3901	16	1	637	637	274	274	1.000000	false	0
3901	21	1	660	660	410	410	1.000000	false	0
3901	17	1	834	834	274	274	1.000000	false	0
3901	18	1	886	886	274	274	1.000000	false	0
4201	3	99	56	56	274	274	1.000000	false	0
4201	22	99	136	136	259	259	1.000000	false	0
4201	5	99	204	204	95	95	1.000000	false	0
4201	20	99	246	246	296	296	1.000000	false	0
4201	23	99	265	265	259	259	1.000000	false	0
4201	24	99	370	370	274	274	1.000000	false	0
4201	10	99	488	488	296	296	1.000000	false	0
4201	6	99	605	605	274	274	1.000000	false	0
4201	16	99	637	637	274	274	1.000000	false	0
4201	21	99	660	660	410	410	1.000000	false	0
4201	17	99	834	834	274	274	1.000000	false	0
4201	18	99	886	886	274	274	1.000000	false	0
4201	22	1	136	136	259	259	1.000000	false	0
4201	5	1	204	204	95	95	1.000000	false	0
4201	20	1	246	246	296	296	1.000000	false	0
4201	23	1	265	265	259	259	1.000000	false	0
4201	24	1	370	370	274	274	1.000000	false	0
4201	10	1	488	488	296	296	1.000000	false	0
4201	6	1	605	605	274	274	1.000000	false	0
4201	16	1	637	637	274	274	1.000000	false	0
4201	21	1	660	660	410	410	1.000000	false	0
4201	17	1	834	834	274	274	1.000000	false	0
4201	18	1	886	886	274	274	1.000000	false	0
4501	22	99	136	136	259	259	1.000000	false	0
4501	5	99	204	204	95	95	1.000000	false	0
4501	20	99	246	246	296	296	1.000000	false	0
4501	23	99	265	265	259	259	1.000000	false	0
4501	24	99	370	370	274	274	1.000000	false	0
4501	10	99	488	488	296	296	1.000000	false	0
4501	6	99	605	605	274	274	1.000000	false	0
4501	16	99	637	637	274	274	1.000000	false	0
4501	21	99	660	660	410	410	1.000000	false	0
4501	17	99	834	834	274	274	1.000000	false	0
4501	18	99	886	886	274	274	1.000000	false	0
4501	3	1	56	56	274	274	1.000000	false	0
4501	22	1	136	136	259	259	1.000000	false	0
4501	5	1	204	204	95	95	1.000000	false	0
4501	25	1	246	246	274	274	1.000000	false	0
4501	23	1	265	265	259	259	1.000000	false	0
4501	26	1	296	296	274	274	1.000000	false	0
4501	24	1	370	370	274	274	1.000000	false	0
4501	27	1	488	488	274	274	1.000000	false	0
4501	6	1	605	605	274	274	1.000000	false	0
4501	16	1	637	637	274	274	1.000000	false	0
4501	21	1	660	660	410	410	1.000000	false	0
4501	17	1	834	834	274	274	1.000000	false	0
4501	18	1	886	886	274	274	1.000000	false	0
4801	3	99	56	56	274	274	1.000000	false	0
4801	22	99	136	136	259	259	1.000000	false	0
4801	5	99	204	204	95	95	1.000000	false	0
4801	25	99	246	246	274	274	1.000000	false	0
4801	23	99	265	265	259	259	1.000000	false	0
4801	26	99	296	296	274	274	1.000000	false	0
4801	24	99	370	370	274	274	1.000000	false	0
4801	27	99	488	488	274	274	1.000000	false	0
4801	6	99	605	605	274	274	1.000000	false	0
4801	16	99	637	637	274	274	1.000000	false	0
4801	21	99	660	660	410	410	1.000000	false	0
4801	17	99	834	834	274	274	1.000000	false	0
4801	18	99	886	886	274	274	1.000000	false	0
4801	22	1	136	136	259	259	1.000000	false	0
4801	5	1	204	204	95	95	1.000000	false	0
4801	25	1	246	246	274	274	1.000000	false	0
4801	23	1	265	265	259	259	1.000000	false	0
4801	26	1	296	296	274	274	1.000000	false	0
4801	24	1	370	370	274	274	1.000000	false	0
4801	27	1	488	488	274	274	1.000000	false	0
4801	6	1	605	605	274	274	1.000000	false	0
4801	16	1	637	637	274	274	1.000000	false	0
4801	21	1	660	660	410	410	1.000000	false	0
4801	17	1	834	834	274	274	1.000000	false	0
4801	18	1	886	886	274	274	1.000000	false	0
5101	22	99	136	136	259	259	1.000000	false	0
5101	5	99	204	204	95	95	1.000000	false	0
5101	25	99	246	246	274	274	1.000000	false	0
5101	23	99	265	265	259	259	1.000000	false	0
5101	26	99	296	296	274	274	1.000000	false	0
5101	24	99	370	370	274	274	1.000000	false	0
5101	27	99	488	488	274	274	1.000000	false	0
5101	6	99	605	605	274	274	1.000000	false	0
5101	16	99	637	637	274	274	1.000000	false	0
5101	21	99	660	660	410	410	1.000000	false	0
5101	17	99	834	834	274	274	1.000000	false	0
5101	18	99	886	886	274	274	1.000000	false	0
5101	22	1	136	136	259	259	1.000000	false	0
5101	5	1	204	204	95	95	1.000000	false	0
5101	25	1	246	246	274	274	1.000000	false	0
