#time	id	act	node	grp	dest	new_grp	prob	keep_via	via
1	1	1	56	56	82	82	1.000000	false	0
1	1	99	56	56	82	82	1.000000	false	0
1	1	1	56	56	82	82	1.000000	false	0
1	1	99	56	56	82	82	1.000000	false	0
1	1	1	56	56	82	82	1.000000	false	0
1	1	99	56	56	82	82	1.000000	false	0
1	1	1	56	56	82	82	1.000000	false	0
1	1	99	56	56	82	82	1.000000	false	0
1	1	1	56	56	82	82	1.000000	false	0
1	1	99	56	56	82	82	1.000000	false	0
1	2	1	660	660	886	886	1.000000	false	0
1	2	99	660	660	886	886	1.000000	false	0
1	3	1	274	274	637	637	1.000000	false	0
1	3	99	274	274	637	637	1.000000	false	0
1	4	1	660	660	274	274	1.000000	false	0
1	4	99	660	660	274	274	1.000000	false	0
1	4	1	660	660	274	274	1.000000	false	0
1	4	99	660	660	274	274	1.000000	false	0
1	4	1	660	660	274	274	1.000000	false	0
1	4	99	660	660	274	274	1.000000	false	0
1	4	1	660	660	274	274	1.000000	false	0
1	4	99	660	660	274	274	1.000000	false	0
1	4	1	660	660	274	274	1.000000	false	0
1	4	99	660	660	274	274	1.000000	false	0
1	5	1	274	274	95	95	1.000000	false	0
1	5	99	274	274	95	95	1.000000	false	0
1	6	1	274	274	259	259	1.000000	false	0
1	6	99	274	274	259	259	1.000000	false	0
1	7	1	660	660	95	95	1.000000	false	0
1	7	99	660	660	95	95	1.000000	false	0
1	3	1	274	274	637	637	1.000000	false	0
1	3	99	274	274	637	637	1.000000	false	0
1	8	1	660	660	56	56	1.000000	false	0
1	8	99	660	660	56	56	1.000000	false	0
1	9	1	274	274	136	136	1.000000	false	0
1	10	1	660	660	410	410	1.000000	false	0
1	9	99	274	274	136	136	1.000000	false	0
1	10	99	660	660	410	410	1.000000	false	0
1	9	1	274	274	136	136	1.000000	false	0
1	10	1	660	660	410	410	1.000000	false	0
1	9	99	274	274	136	136	1.000000	false	0
1	10	99	660	660	410	410	1.000000	false	0
301	11	1	605	605	204	204	1.000000	false	0
301	11	99	605	605	204	204	1.000000	false	0
301	11	1	605	605	204	204	1.000000	false	0
301	11	99	605	605	204	204	1.000000	false	0
301	11	1	605	605	204	204	1.000000	false	0
301	11	99	605	605	204	204	1.000000	false	0
301	11	1	605	605	204	204	1.000000	false	0
301	11	99	605	605	204	204	1.000000	false	0
301	11	1	605	605	204	204	1.000000	false	0
301	11	99	605	605	204	204	1.000000	false	0
301	12	1	660	660	834	834	1.000000	false	0
301	12	99	660	660	834	834	1.000000	false	0
301	13	1	274	274	252	252	1.000000	false	0
301	13	99	274	274	252	252	1.000000	false	0
301	14	1	660	660	605	605	1.000000	false	0
301	14	99	660	660	605	605	1.000000	false	0
301	14	1	660	660	605	605	1.000000	false	0
301	14	99	660	660	605	605	1.000000	false	0
301	14	1	660	660	605	605	1.000000	false	0
301	14	99	660	660	605	605	1.000000	false	0
301	14	1	660	660	605	605	1.000000	false	0
301	14	99	660	660	605	605	1.000000	false	0
301	14	1	660	660	605	605	1.000000	false	0
301	14	99	660	660	605	605	1.000000	false	0
301	15	1	274	274	370	370	1.000000	false	0
301	15	99	274	274	370	370	1.000000	false	0
301	16	1	274	274	410	410	1.000000	false	0
301	16	99	274	274	410	410	1.000000	false	0
301	12	1	660	660	834	834	1.000000	false	0
