#time	uid	from	to	dest	grp	keep_via
909	4803	834	0	637	637	0
909	3682	605	0	370	370	0
909	3224	834	0	637	637	0
909	3096	834	0	637	637	0
909	3195	605	0	370	370	0
909	4158	605	0	370	370	0
909	1696	834	0	637	637	0
909	1448	834	0	637	637	0
910	3727	136	0	265	265	0
910	4936	605	0	370	370	0
910	2484	834	0	637	637	0
910	3599	605	0	370	370	0
910	3410	834	0	637	637	0
910	4002	834	0	637	637	0
910	3929	204	0	95	95	0
910	1021	605	0	370	370	0
910	1040	605	0	370	370	0
910	1079	834	0	637	637	0
910	1090	136	0	265	265	0
910	4856	886	0	637	637	0
910	3890	834	0	637	637	0
910	2804	834	0	637	637	0
910	1486	204	0	95	95	0
911	2513	605	0	370	370	0
911	30	886	0	637	637	0
911	2109	605	0	370	370	0
911	4076	834	0	637	637	0
911	4722	136	0	265	265	0
911	2741	834	0	637	637	0
911	2598	605	0	370	370	0
911	574	886	0	637	637	0
911	1747	136	0	265	265	0
911	2537	834	0	637	637	0
911	733	204	0	95	95	0
911	831	834	0	637	637	0
911	907	605	0	370	370	0
911	2235	605	0	370	370	0
911	2297	204	0	95	95	0
912	71	834	0	637	637	0
912	129	204	0	95	95	0
912	145	605	0	370	370	0
912	2174	605	0	370	370	0
912	530	605	0	370	370	0
912	3395	605	0	370	370	0
912	917	834	0	637	637	0
912	3179	605	0	370	370	0
912	4146	136	0	265	265	0
912	2791	605	0	370	370	0
912	3581	136	0	265	265	0
912	3261	834	0	637	637	0
912	2920	834	0	637	637	0
912	1427	605	0	370	370	0
912	4136	886	0	637	637	0
913	135	834	0	637	637	0
913	3635	136	0	265	265	0
913	3163	605	0	370	370	0
913	4278	204	0	95	95	0
913	3715	605	0	370	370	0
913	446	834	0	637	637	0
913	4594	605	0	370	370	0
913	4694	886	0	637	637	0
913	2923	886	0	637	637	0
913	3259	834	0	637	637	0
913	4736	605	0	370	370	0
913	1053	834	0	637	637	0
913	4552	204	0	95	95	0
913	1929	834	0	637	637	0
913	3579	605	0	370	370	0
913	3650	136	0	265	265	0
913	4825	605	0	370	370	0
914	113	605	0	370	370	0
914	4430	605	0	370	370	0
914	144	834	0	637	637	0
914	3079	834	0	637	637	0
914	312	136	0	265	265	0
914	2643	834	0	637	637	0
914	2396	834	0	637	637	0
914	1926	605	0	370	370	0
914	4061	605	0	370	370	0
914	1258	605	0	370	370	0
914	2422	136	0	265	265	0
914	1400	605	0	370	370	0
914	4190	605	0	370	370	0
914	3935	886	0	637	637	0
915	4964	136	0	265	265	0
915	1700	605	0	370	370	0
915	188	834	0	637	637	0
915	217	136	0	265	265	0
915	1871	886	0	637	637	0
915	2714	605	0	370	370	0
915	602	834	0	637	637	0
915	2442	834	0	637	637	0
915	1168	886	0	637	637	0
915	1198	834	0	637	637	0
915	1330	605	0	370	370	0
916	4425	834	0	637	637	0
916	2226	834	0	637	637	0
916	379	605	0	370	370	0
916	415	834	0	637	637	0
916	2945	605	0	370	370	0
916	2153	136	0	265	265	0
916	525	834	0	637	637	0
916	4507	886	0	637	637	0
916	4449	834	0	637	637	0
916	3889	834	0	637	637	0
916	1302	136	0	265	265	0
916	4801	605	0	370	370	0
917	2095	136	0	265	265	0
917	3868	834	0	637	637	0
917	1550	605	0	370	370	0
917	1601	834	0	637	637	0
917	2934	886	0	637	637	0
917	3388	834	0	637	637	0
917	4249	605	0	370	370	0
917	1746	605	0	370	370	0
917	848	605	0	370	370	0
917	854	136	0	265	265	0
917	4314	834	0	637	637	0
918	2205	605	0	370	370	0
918	3292	886	0	637	637	0
918	1827	136	0	265	265	0
918	2180	605	0	370	370	0
918	422	834	0	637	637	0
918	3428	834	0	637	637	0
918	1698	605	0	370	370	0
918	888	834	0	637	637	0
918	3690	605	0	370	370	0
918	2307	886	0	637	637	0
918	4023	834	0	637	637	0
919	4224	136	0	265	265	0
919	1772	834	0	637	637	0
919	2659	605	0	370	370	0
919	2258	136	0	265	265	0
919	510	886	0	637	637	0
919	4443	605	0	370	370	0
919	920	605	0	370	370	0
919	3857	834	0	637	637	0
919	1253	834	0	637	637	0
919	4480	605	0	370	370	0
920	177	605	0	370	370	0
920	2796	834	0	637	637	0
920	644	886	0	637	637	0
920	4589	605	0	370	370	0
920	730	136	0	265	265	0
920	4777	834	0	637	637	0
920	2526	834	0	637	637	0
920	3459	834	0	637	637	0
920	2203	605	0	370	370	0
920	1407	605	0	370	370	0
921	3142	605	0	370	370	0
921	237	605	0	370	370	0
921	519	834	0	637	637	0
921	701	605	0	370	370	0
921	4381	834	0	637	637	0
921	2246	886	0	637	637	0
921	925	834	0	637	637	0
921	1349	605	0	370	370	0
922	191	886	0	637	637	0
922	2821	605	0	370	370	0
922	1634	605	0	370	370	0
922	735	834	0	637	637	0
922	1836	605	0	370	370	0
922	1191	834	0	637	637	0
922	1881	834	0	637	637	0
922	2444	886	0	637	637	0
922	2663	834	0	637	637	0
